CLICK_FOR_ACTION,KODE,KETERANGAN,REQUEST,RESPONSE,KDCAB,KDTK,NAMA,STATION,IP,VERSI_LISTENER,VERSI_SERVICE_LISTENER,SERVICE_LISTENER,VERSI_IDMLIBRARY,FILE_CABANG_INI,VERSI_ATTRIBUTE,LibreHardwareMonitor.dll,OS_KeyDLL.dll,SE.dll,STATUS
407,407,File Cabang.ini belum ter-setting,2025-09-28 09:08:18,2025-09-28 09:08:18,G026,TF9M,PERUM KOTABUMI/,I1,10.43.215.6,"'-","'-","'-","'-","'-","'-","'-","'-","'-","'-"
404,404,Listener NOK,2025-09-28 09:08:18,2025-09-28 09:08:18,G026,F6LG,01,01,10.43.32.2,"'-","'-","'-","'-","'-","'-","'-","'-","'-","'-"
404,404,Listener NOK,2025-09-28 09:08:18,2025-09-28 09:08:18,G026,FJ0O,01,01,10.43.41.34,"'-","'-","'-","'-","'-","'-","'-","'-","'-","'-"
404,404,Listener NOK,2025-09-28 09:08:18,2025-09-28 09:08:18,G026,F6LG,02,02,10.43.32.3,"'-","'-","'-","'-","'-","'-","'-","'-","'-","'-"
404,404,Listener NOK,2025-09-28 09:08:18,2025-09-28 09:08:18,G026,FD0C,02,02,10.43.48.3,"'-","'-","'-","'-","'-","'-","'-","'-","'-","'-"
404,404,Listener NOK,2025-09-28 09:08:18,2025-09-28 09:08:18,G026,FD0C,01,01,10.43.48.2,"'-","'-","'-","'-","'-","'-","'-","'-","'-","'-"
404,404,Listener NOK,2025-09-28 09:08:18,2025-09-28 09:08:18,G026,K009,01,01,10.254.0.26,"'-","'-","'-","'-","'-","'-","'-","'-","'-","'-"
404,404,Listener NOK,2025-09-28 09:08:18,2025-09-28 09:08:18,G026,FJ0O,02,02,10.43.41.35,"'-","'-","'-","'-","'-","'-","'-","'-","'-","'-"
404,404,Listener NOK,2025-09-28 09:08:18,2025-09-28 09:08:18,G026,T26G,02,02,10.43.125.3,"'-","'-","'-","'-","'-","'-","'-","'-","'-","'-"
404,404,Listener NOK,2025-09-28 09:08:18,2025-09-28 09:08:18,G026,T26G,01,01,10.43.125.2,"'-","'-","'-","'-","'-","'-","'-","'-","'-","'-"
404,404,Listener NOK,2025-09-28 09:08:18,2025-09-28 09:08:18,G026,T8IF,I1,I1,10.43.233.4,"'-","'-","'-","'-","'-","'-","'-","'-","'-","'-"
404,404,Try again,2025-09-28 09:08:48,2025-09-28 09:08:48,G026,T8ZZ,02,02,10.43.236.35,"'-","'-","'-","'-","'-","'-","'-","'-","'-","'-"
404,404,Listener NOK,2025-09-28 09:08:18,2025-09-28 09:08:18,G026,T9YI,03,03,10.43.211.4,"'-","'-","'-","'-","'-","'-","'-","'-","'-","'-"
404,404,Listener NOK,2025-09-28 09:08:18,2025-09-28 09:08:18,G026,TEQH,01,01,10.43.249.162,"'-","'-","'-","'-","'-","'-","'-","'-","'-","'-"
404,404,Listener NOK,2025-09-28 09:08:18,2025-09-28 09:08:18,G026,TFUP,02,02,10.43.29.227,"'-","'-","'-","'-","'-","'-","'-","'-","'-","'-"
404,404,Listener NOK,2025-09-28 09:08:18,2025-09-28 09:08:18,G026,TFUP,01,01,10.43.29.226,"'-","'-","'-","'-","'-","'-","'-","'-","'-","'-"
404,404,Listener NOK,2025-09-28 09:08:18,2025-09-28 09:08:18,G026,TFVT,02,02,10.43.47.163,"'-","'-","'-","'-","'-","'-","'-","'-","'-","'-"
