, , , , , , , , , ,CPU,CPU,CPU,CPU,MEMORY,MEMORY,MEMORY,HDD,HDD,HDD,HDD,HDD,HDD,UPS,UPS,UPS,WINDOWS,WINDOWS,WINDOWS,LAIN_LAIN,LAIN_LAIN,LAIN_LAIN,LAIN_LAIN,LAIN_LAIN,EDC_BCA,EDC_BCA,EDC_BCA,EDC_BCA,EDC_MANDIRI,EDC_MANDIRI,EDC_MANDIRI,EDC_MANDIRI,EDC_MTI,EDC_MTI,EDC_MTI,EDC_MTI,PREVENTIF,PREVENTIF,PREVENTIF
CLICK_FOR_ACTION,KODE,KETERANGAN,REQUEST,RESPONSE,KDCAB,KDTK,NAMA,STATION,IP,OS,ARSITEKTUR,CPU_INFO,CPU_USAGE (%),MEMORY_USAGE (%),MEMORY_TERPASANG,MEMORY_TERBACA,HDD_NAME,HDD_TOTAL,HDD_USED,HDD_FREE,HDD_HEALTH,TIPE,SETTING_HIBERNATE,UPS_STATUS,DEVICE_ID,AKTIVASI_WINDOWS,PARTIAL_KEY_WINDOWS,LAST_INSTALL,LAN_SPEED,UPTIME,SUHU °C,BOOT_TIME,LIST_IP,SETTING_BCA,ON (kali),OFF (kali),LAST,SETTING_MANDIRI,ON (kali),OFF (kali),LAST,SETTING_MTI,ON (kali),OFF (kali),LAST,REKOMENDASI_PERBAIKAN,STATUS_BSOD,FOLDER_BACKOFF_SHARING_MODE
200,200,"NOK SE,Mohon copykan SE.dll",2025-09-28 09:23:14,2025-09-28 09:23:15,G026,TSZ5,KEDAUNG BARAT 15,01,10.43.41.130,"'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-",0,"'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-"
200,200,"NOK SE,Mohon copykan SE.dll",2025-09-28 09:23:14,2025-09-28 09:23:15,G026,T0ZY,SUKADIRI NO 4,01,10.43.14.66,"'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-",0,"'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-"
200,200,Versi SE.dll Belum Update!,2025-09-28 09:23:14,2025-09-28 09:23:19,G026,TS76,PASAR KEMIS II/,01,10.43.243.162,"'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-",0,"'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-","'-"
200,200,Succes,2025-09-28 09:23:14,2025-09-28 09:23:23,G026,TPJC,KEMIRI/,01,10.43.232.194,Microsoft Windows 7 Professional ,32-bit,Intel(R) Pentium(R) CPU G4400 @ 3.30GHz,0,65,4 GB,4 GB,ADAT    SU900 SCSI Disk Device,477 GB,283 GB,194 GB,"'

Healthy",,NOK,NOK,"'-","Windows(R) 7, Professional edition:
    The machine is permanently activated.",K9TX2-2XMVC-RBC73-KVQB3-3GW3P,"1/3/2019, 11:30:54",1000 MB/s,0 hari 2 jam 52 menit,64,0.48 Menit,"""10.43.232.194"",""172.31.31.1""",NEB:Y(60)|PC1:1 N|PCO:N|E01:10.43.232.195 COM8,2,0,ONLINE-2025-09-28 09:08:02,NEM:Y(60)|PC2:0-N|PCO:N|E02:10.43.232.194 COM9,4,0,ONLINE-2025-09-27 21:00:26,"'-",0,0,NOEDC-0000-00-00 00:00:00,BELUM MEMERLUKAN PERBAIKAN,OK,"'-"
200,200,Succes,2025-09-28 09:23:14,2025-09-28 09:23:24,G026,TTE9,CLUB HOUSE EUROPA/,01,10.43.12.98,Microsoft Windows 10 Pro,64-bit,12th Gen Intel(R) Core(TM) i3-12100,1,29,16 GB,16 GB,ADATA SX6000PNP,476 GB,196 GB,280 GB,Healthy,SSD,OK,Terpasang: OK Battery_Status: 2 Battery_Level: 100%,PT.INDODAYA CIPTA LESTARIICA CS 1238,"Windows(R), Professional edition:
    The machine is permanently activated.",N8637-7BCJ2-BXT43-J6TBX-BKMP2,"11/2/2022, 10:58:50",1000 MB/s,0 hari 3 jam 11 menit,47,0.66 Menit,"""10.43.12.98"",""172.31.31.2""",NEB:Y(60)|PC1:1 Y|PCO:N|E01:10.43.12.98 COM8,4,0,ONLINE-2025-09-28 08:43:45,NEM:Y(60)|PC2:1-Y|PCO:N|E02:10.43.12.98 COM9,4,0,ONLINE-2025-09-27 11:24:42,"'-",0,0,NOEDC-0000-00-00 00:00:00,BELUM MEMERLUKAN PERBAIKAN,OK,"'-"
200,200,Succes,2025-09-28 09:23:14,2025-09-28 09:23:24,G026,TCRA,HYBRID BENOA MAS/,01,10.43.216.130,Microsoft Windows 10 Pro,64-bit,12th Gen Intel(R) Core(TM) i3-12100,16,25,16 GB,16 GB,ADATA SX6000PNP,476 GB,267 GB,210 GB,Healthy,SSD,OK,NOK,"'-","Windows(R), Professional edition:
    Windows is in Notification mode",NF7KT-KWPT3-M6PFY-6MCR2-FX8XC,"2/6/2023, 08:32:59",1000 MB/s,0 hari 3 jam 38 menit,51,0.6 Menit,"""10.43.216.130"",""172.31.31.1""",NEB:Y(60)|PC1:1 N|PCO:N|E01:10.43.216.130 COM8,15,0,ONLINE-2025-09-28 08:12:22,NEM:Y(60)|PC2:0-N|PCO:N|E02:10.43.216.130 COM9,6,0,ONLINE-2025-09-27 18:31:02,"'-",0,0,NOEDC-0000-00-00 00:00:00,BELUM MEMERLUKAN PERBAIKAN,OK,"'-"
200,200,Succes,2025-09-28 09:23:14,2025-09-28 09:23:25,G026,TYCI,MAS MANSYUR CENDRAWASIH,01,10.43.136.130,Microsoft Windows 10 Pro,64-bit,12th Gen Intel(R) Core(TM) i3-12100,13,29,16 GB,16 GB,ADATA LEGEND 850,476 GB,102 GB,374 GB,Healthy,SSD,OK,Terpasang: OK Battery_Status: 2 Battery_Level: 100%,PT.INDODAYA CIPTA LESTARIICA CS 1238,"Windows(R), Professional edition:
    The machine is permanently activated.",392CB-NRF62-H73BJ-MRDGK-TF4C2,"11/15/2024, 13:52:06",1000 MB/s,0 hari 3 jam 3 menit,0,0.4 Menit,"""10.43.136.130"",""172.31.31.2""",NEB:Y(60)|PC1:1 N|PCO:N|E01:10.43.136.130 COM8,6,0,ONLINE-2025-09-28 08:37:08,NEM:Y(60)|PC2:0-N|PCO:N|E02:10.43.136.130 COM9,0,1,OFFLINE-2025-09-28 07:55:11-RESPONSE DARI EDC BLANK,"'-",0,0,NOEDC-0000-00-00 00:00:00,BELUM MEMERLUKAN PERBAIKAN,OK,"'-"
200,200,Succes,2025-09-28 09:23:14,2025-09-28 09:23:25,G026,T8N5,RAYA KOTABUMI/,01,10.43.117.2,Microsoft Windows 10 Pro,64-bit,Intel(R) Pentium(R) Gold G6400 CPU @ 4.00GHz,3,48,8 GB,8 GB,ADATA SX6000LNP,476 GB,101 GB,375 GB,Healthy,SSD,OK,NOK,"'-","Windows(R), Professional edition:
    The machine is permanently activated.",7QM4Y-N4VKH-VKYJG-P3R7D-977J6,"8/23/2024, 08:00:05",100 MB/s,0 hari 2 jam 47 menit,57,0.55 Menit,"""10.43.117.2""",NEB:Y(60)|PC1:0 N|PCO:N|E01:10.43.117.3 COM8,0,2,"OFFLINE-2025-09-27 17:49:05-THE DEVICE DOES NOT RECOGNIZE THE COMMAND.
",NEM:Y(60)|PC2:0-N|PCO:N|E02:10.43.117.3 COM9,3,0,ONLINE-2025-09-28 08:53:18,"'-",0,0,NOEDC-0000-00-00 00:00:00,BELUM MEMERLUKAN PERBAIKAN,OK,"'-"
200,200,Succes,2025-09-28 09:23:14,2025-09-28 09:23:25,G026,T42D,HYBRID CURUG 3/,01,10.43.59.130,Microsoft Windows 10 Pro,64-bit,12th Gen Intel(R) Core(TM) i3-12100,7,34,16 GB,16 GB,ADATA LEGEND 850,476 GB,118 GB,358 GB,Healthy,SSD,OK,Terpasang: OK Battery_Status: 2 Battery_Level: 100%,  PT.METRINDO SUPRA SINATRIAWEARNES WA1250EU,"Windows(R), Professional edition:
    The machine is permanently activated.",FND3B-CVT38-288DG-8Y26D-3PFTG,"11/15/2024, 13:52:06",1000 MB/s,0 hari 3 jam 35 menit,74,0.37 Menit,"""10.43.59.130"",""172.31.31.1""",NEB:Y(60)|PC1:1 N|PCO:N|E01:10.43.59.130 COM8,11,15,ONLINE-2025-09-27 18:21:26,NEM:Y(60)|PC2:0-N|PCO:N|E02:10.43.59.130 COM9,5,0,ONLINE-2025-09-27 18:31:34,"'-",0,0,NOEDC-0000-00-00 00:00:00,BELUM MEMERLUKAN PERBAIKAN,OK,"'-"
